ALE
153,55
15
5000
JOE SELL 968,18 266
GIN BUY 86,96 667
ALE BUY 724,42 285
GIN SELL 29,43 732
ALE SELL 105,75 63
GIN SELL 85,43 217
POP SELL 54,88 4
POP BUY 891,46 571
ALE SELL 377,95 334
ALE SELL 927,99 237
GIN SELL 877,75 26
ALE SELL 577,41 952
JOE BUY 450,55 956
ALE SELL 780,35 903
GIN BUY 228,73 890
POP BUY 997,54 4
TEA SELL 101,06 153
POP SELL 434,1 753
POP BUY 192,87 124
POP SELL 733,47 436
POP BUY 137,88 889
JOE SELL 597,82 645
JOE BUY 224,05 681
POP SELL 42,16 356
GIN SELL 745,13 975
JOE BUY 239,03 58
ALE BUY 140,24 331
ALE SELL 160,84 668
GIN BUY 753,33 376
GIN BUY 476,96 217
GIN BUY 294,57 513
POP BUY 412,54 554
GIN SELL 335,84 233
ALE BUY 526,03 549
GIN BUY 422,14 144
POP BUY 612,58 535
GIN SELL 631,1 78
ALE BUY 190,16 980
POP BUY 662,63 882
ALE SELL 275,68 620
GIN BUY 790,6 774
POP BUY 407,83 554
ALE SELL 258,74 351
ALE BUY 123,98 27
ALE BUY 952,7 648
POP SELL 347,93 893
TEA BUY 430,31 818
TEA BUY 395,74 999
TEA SELL 642,16 339
TEA SELL 556,43 979
TEA SELL 924,32 828
GIN SELL 454,91 188
GIN BUY 95,52 847
POP SELL 653,77 777
ALE BUY 740,59 300
TEA SELL 201,41 134
GIN BUY 12,23 295
TEA SELL 83,07 188
ALE BUY 533,33 576
POP SELL 782,23 315
ALE SELL 231,53 894
TEA SELL 409,09 827
POP BUY 188,44 927
JOE SELL 103,31 289
POP BUY 835,17 616
ALE BUY 668,03 146
ALE BUY 76,56 21
GIN BUY 642,16 409
TEA BUY 175,86 75
ALE BUY 268,04 375
GIN SELL 481,99 839
GIN SELL 61,36 627
POP BUY 331,54 115
POP BUY 940,57 805
POP BUY 707,27 556
ALE SELL 122,68 875
GIN SELL 485,43 602
POP BUY 242,46 900
POP SELL 353,66 880
TEA SELL 402,17 533
ALE BUY 731,8 926
POP BUY 108,82 740
TEA BUY 277,31 336
GIN BUY 305,88 474
POP BUY 807,63 712
ALE SELL 956,71 297
GIN SELL 721,28 23
ALE SELL 886,43 192
JOE BUY 249,92 233
POP BUY 839,59 41
POP BUY 123,27 318
ALE BUY 960,37 518
JOE BUY 478,92 33
POP SELL 152,56 382
POP BUY 99,21 38
POP SELL 26,27 409
GIN SELL 307,01 255
TEA BUY 388,35 444
GIN BUY 102,57 560
POP SELL 483,65 326
GIN BUY 373,46 181
JOE BUY 444,11 662
POP BUY 259,5 405
JOE SELL 652,66 690
POP BUY 4,94 473
POP BUY 979,03 726
JOE BUY 879,68 763
JOE BUY 94,51 923
GIN BUY 1,76 624
GIN SELL 322,63 342
POP BUY 143,02 491
ALE BUY 732,78 565
POP BUY 850 117
GIN SELL 433,95 338
GIN SELL 462,14 62
ALE SELL 275,39 986
ALE SELL 859,3 786
GIN BUY 411,45 590
TEA SELL 20,57 965
ALE BUY 437,44 161
JOE BUY 726,52 892
ALE SELL 53,69 293
POP BUY 986,8 75
JOE BUY 464,78 49
ALE SELL 25,16 399
JOE SELL 970,86 51
ALE BUY 904,04 466
ALE SELL 458,4 31
ALE BUY 120,52 963
GIN SELL 746,98 308
ALE BUY 755,87 194
JOE SELL 999,58 951
ALE SELL 10,68 119
ALE SELL 653 607
GIN BUY 207,52 524
ALE SELL 575,81 226
POP BUY 593,28 185
ALE BUY 410,57 184
GIN SELL 523,1 129
TEA BUY 307,52 538
ALE SELL 858,04 371
ALE SELL 506,7 391
ALE BUY 658,45 729
POP SELL 475,56 621
POP SELL 505,07 586
TEA BUY 559,11 452
POP BUY 29,9 703
ALE SELL 349,51 610
GIN SELL 488,96 465
POP BUY 232,4 51
JOE BUY 458,74 148
ALE BUY 816,69 492
POP BUY 988,69 95
ALE SELL 205,04 253
ALE SELL 791,48 896
JOE SELL 312,04 124
TEA SELL 303,27 948
ALE BUY 687,04 259
GIN BUY 695,92 995
ALE SELL 548,73 340
ALE SELL 173,18 527
GIN SELL 988,5 484
GIN BUY 132,96 137
GIN SELL 549,55 642
GIN SELL 27,59 210
TEA BUY 638,89 479
POP SELL 4,24 551
GIN SELL 479,12 965
GIN BUY 657,39 813
ALE BUY 557,15 177
GIN BUY 475,52 849
POP SELL 776,83 34
ALE SELL 813,93 344
POP SELL 772,51 974
JOE SELL 475,85 332
GIN SELL 90,6 793
GIN BUY 233,65 481
JOE SELL 196,13 142
GIN SELL 872,53 246
GIN SELL 511,38 425
GIN SELL 588,35 247
ALE SELL 943,55 74
GIN SELL 821,88 506
POP SELL 608,53 450
GIN BUY 861,4 390
ALE SELL 707,87 857
POP SELL 795,7 370
POP BUY 765,83 400
ALE BUY 649,57 981
POP BUY 683,71 684
GIN BUY 783,63 568
GIN BUY 318,37 587
GIN SELL 890,8 706
GIN SELL 542,01 596
ALE SELL 171,18 393
GIN BUY 990,25 446
ALE SELL 517,61 378
POP BUY 955,56 51
TEA SELL 793,65 250
TEA BUY 132,97 959
ALE BUY 536,39 141
GIN SELL 175,3 829
GIN BUY 665,72 155
POP SELL 264,65 662
GIN BUY 32,42 896
GIN SELL 157,46 772
GIN SELL 886,91 698
POP SELL 410,02 742
GIN SELL 600,71 426
TEA SELL 741,43 850
POP SELL 222,77 960
ALE BUY 741,23 702
ALE BUY 702,54 727
GIN BUY 378,44 62
GIN BUY 861,9 887
JOE SELL 19,38 118
POP BUY 447,93 50
TEA BUY 910,98 670
POP SELL 848,66 621
POP BUY 336,86 977
ALE SELL 303,7 149
ALE BUY 903,06 262
ALE SELL 691,8 290
POP SELL 660,5 93
POP BUY 227,49 237
ALE SELL 21,23 151
TEA SELL 648,7 752
GIN BUY 675,43 108
JOE BUY 727,44 141
ALE BUY 966,32 604
POP SELL 185,58 798
GIN BUY 429,8 574
POP BUY 347,73 178
GIN SELL 456,09 399
ALE BUY 113,32 312
ALE BUY 280,23 621
TEA SELL 79,81 228
ALE BUY 758,53 223
GIN SELL 899,16 889
ALE SELL 638,04 697
POP BUY 199,52 515
JOE BUY 276 395
ALE SELL 654,19 403
GIN BUY 16,32 903
TEA SELL 29,92 599
GIN SELL 680,18 422
GIN BUY 296,52 46
TEA SELL 877,7 399
TEA BUY 129,9 69
ALE BUY 97,75 889
ALE SELL 390,38 308
GIN BUY 782,95 398
GIN SELL 408,62 454
TEA SELL 846,86 181
GIN SELL 160,85 426
POP BUY 340,37 243
ALE BUY 665,7 824
GIN SELL 224,41 533
ALE BUY 184,49 787
GIN BUY 455,91 59
JOE BUY 57,15 617
POP SELL 844,09 921
GIN BUY 255,67 782
GIN SELL 384,13 496
JOE BUY 987,19 157
ALE BUY 25,2 271
TEA SELL 928,74 625
TEA SELL 79,92 47
JOE SELL 925,72 389
GIN SELL 732,26 518
ALE SELL 235,96 625
GIN SELL 350,96 453
JOE BUY 651,69 319
JOE SELL 565,39 977
POP BUY 81,17 418
GIN BUY 311,03 684
ALE BUY 422,17 656
JOE SELL 301,47 565
ALE SELL 809,32 651
GIN BUY 634,06 10
TEA SELL 567,24 168
ALE SELL 486,13 341
POP BUY 451,71 627
ALE SELL 108,97 647
TEA SELL 10,63 243
GIN BUY 576,43 885
GIN SELL 147,06 405
ALE BUY 995,29 492
ALE SELL 216,19 151
JOE SELL 134,4 7
